type,category,short,long,user,logo,link,description
,Paleoclimate reconstructions,PhanSST,PhanSST,core,,https://doi.org/10.5281/zenodo.5790387,Global compilation of Phanerozoic sea-surface temperature proxy estimates from several proxy systems.
,Paleogeography and plate-tectonic reconstructions,Cao2017,Cao et al. Phanerozoic paleogeography,core,,https://doi.org/10.1016/j.earscirev.2017.09.001,Series of global paleogeographic maps showing coastlines and major mountain belts.
,Paleogeography and plate-tectonic reconstructions,EarthByte,EarthByte global plate models,core,earthbyte.png,https://www.earthbyte.org/category/resources/data-models/,"Repository of global plate-rotation, topology and palaeogeographic models distributed for GPlates."
,Paleogeography and plate-tectonic reconstructions,GPlates,GPlates,core,,https://www.gplates.org/,"Open-source software and data framework for reconstructing plate motions, geological features and rasters through time."
,Paleogeography and plate-tectonic reconstructions,Marcilly2022,Marcilly et al. Phanerozoic paleocoastlines,core,,https://doi.org/10.1016/j.earscirev.2022.104193,Global paleogeographic reconstruction of paleocoastlines using an updated plate model in a palaeomagnetic frame.
,Paleogeography and plate-tectonic reconstructions,Merdith2021,Merdith et al. global reconstruction,core,,https://www.earthbyte.org/webdav/ftp/Data_Collections/Merdith_etal_2021_Gondwana/,Full-plate global reconstruction spanning the Neoproterozoic and Phanerozoic in a palaeomagnetic reference frame.
,Paleogeography and plate-tectonic reconstructions,Paleolatitude,Paleolatitude.org,core,,https://paleolatitude.org/,Web service for reconstructing palaeocoordinates of localities under selectable plate models.
,Paleogeography and plate-tectonic reconstructions,PaleoAtlas,PALEOMAP PaleoAtlas for GPlates,core,,https://www.earthbyte.org/paleomap-paleoatlas-for-gplates/,Time-dependent raster atlas of global palaeogeographic maps loadable into GPlates.
,Paleogeography and plate-tectonic reconstructions,Deep Time Maps,Deep Time Maps,core,,https://deeptimemaps.com/,
,Paleogeography and plate-tectonic reconstructions,ERDA,EarthRef Digital Archive,core,,https://earthref.org/ERDA/,"Archive of Earth-science datasets including palaeomagnetic, geochemical and palaeogeographic products."
,Paleogeography and plate-tectonic reconstructions,Gplates Web Service,Gplates Web Service,core,gws.png,https://gwsdoc.gplates.org/,
,Paleogeography and plate-tectonic reconstructions,PALEOMAP,PALEOMAP Project,core,paleomap.gif,https://www.scotese.com/,"Long-running project providing plate-tectonic, palaeogeographic, palaeoclimatic and biogeographic reconstructions."
,Phylogenies,OpenTree,Open Tree of Life,core,,,Synthetic tree combining published phylogenies with a comprehensive taxonomic backbone and source mappings.
,Phylogenies,PhylomeDB,PhylomeDB,core,,http://phylomedb.org/,"Repository of complete collections of gene phylogenies, alignments and orthology/paralogy predictions for sequenced genomes."
,Phylogenies,TreeBASE,TreeBASE,core,,https://www.treebase.org/,"Repository for published phylogenetic trees, character matrices and study metadata."
,Phylogenies,Phylacine,The Phylogenetic Atlas of Mammal Macroecology,core,phylacine.png,https://megapast2future.github.io/PHYLACINE_1.2/,
,Population-genetic and phylogeographic data,DToL,Darwin Tree of Life,core,,https://www.darwintreeoflife.org/,Programme producing high-quality reference genomes for eukaryotic species of Britain and Ireland.
,Population-genetic and phylogeographic data,EBP,Earth BioGenome Project,core,,https://www.earthbiogenome.org/,Global network coordinating reference-genome sequencing across eukaryotic biodiversity.
,Population-genetic and phylogeographic data,EVA,European Variation Archive,core,,https://www.ebi.ac.uk/eva/,"Open repository for genetic variation data across non-human species, linked to assemblies, samples and studies."
,Population-genetic and phylogeographic data,GenDivRange,GenDivRange,core,,https://gendivrange.org/,Global georeferenced compilation linking within-population genetic diversity estimates to species ranges.
,Population-genetic and phylogeographic data,GEOME,Genomic Observatories Metadatabase,core,,https://geome-db.org/,Repository for georeferenced biological sample metadata linked to sequence accessions.
,Population-genetic and phylogeographic data,GGBN,Global Genome Biodiversity Network,core,,https://www.ggbn.org/,"Federated portal exposing genomic DNA, tissue, environmental samples and voucher links in biodiversity biobanks."
,Population-genetic and phylogeographic data,VGP,Vertebrate Genomes Project,core,,https://vertebrategenomesproject.org/,International project generating high-quality reference genomes across vertebrate diversity.
,Publication-specific datasets not represented by a major infrastructure,EutherianCoP,EutherianCoP,core,,,"Integrated Late PleistoceneâHolocene placental-mammal dataset combining fossil and modern occurrences, traits and environmental data."
,Publication-specific datasets not represented by a major infrastructure,MEGA14C,MEGA14C,core,,,Holarctic database of radiocarbon dates for large mammals.
,Publication-specific datasets not represented by a major infrastructure,WOODIV,WOODIV v2,core,,,"Integrated Euro-Mediterranean woody-plant resource combining deduplicated occurrences, traits and a dated phylogeny."
,Publication-specific datasets not represented by a major infrastructure,FAUNMAP,FAUNMAP,core,,https://ucmp.berkeley.edu/faunmap/,Archival North American late Cenozoic mammal locality and assemblage database.
,"Soils, geology, lithology, and substrate",GLHYMPS,GLobal HYdrogeology MaPS,core,,https://doi.org/10.5683/SP2/DLGXYO,Global permeability and porosity maps derived from lithology and hydrogeological information.
,"Soils, geology, lithology, and substrate",GLiM,Global Lithological Map,core,,https://doi.pangaea.de/10.1594/PANGAEA.788537,Global vector map of surface lithology harmonised into standard rock classes.
,"Soils, geology, lithology, and substrate",HWSD,Harmonized World Soil Database v2,core,,https://www.fao.org/soils-portal/data-hub/soil-maps-and-databases/harmonized-world-soil-database-v20/en/,Global raster soil inventory linking mapping units to harmonised physical and chemical attributes.
,"Soils, geology, lithology, and substrate",OneDZ,OneDZ detrital zircon database,core,,https://essd.copernicus.org/articles/18/3671/2026/,Very large global compilation of detrital zircon U-Pb and Lu-Hf records extracted from publications.
,"Soils, geology, lithology, and substrate",SoilGrids,SoilGrids,core,,https://isric.org/explore/soilgrids,Machine-learning global predictions of soil properties at standard depths with uncertainty.
,"Soils, geology, lithology, and substrate",WoSIS,World Soil Information Service,core,,https://www.isric.org/explore/wosis,Quality-assessed global database of georeferenced soil-profile observations.
,Species distributions and range maps,GABI,AntMaps / Global Ant Biodiversity Informatics,core,,https://antmaps.org/,"Global synthesis of ant species distributions assembled from literature, databases and expert curation."
,Species distributions and range maps,MOL,Map of Life,core,,https://mapoflife.ai/,"Integrated platform combining occurrences, expert ranges, checklists and environmental data into distribution and indicator products."
,Species distributions and range maps,AquaMaps,AquaMaps,core,aquamaps.png,https://www.aquamaps.org/,Model-generated global aquatic species distribution maps using environmental envelopes and expert review.
,Species distributions and range maps,BirdLife maps,BirdLife Species Distribution Maps,core,,https://datazone.birdlife.org/dataset-information,Expert range maps and conservation information for the world's birds using BirdLife taxonomy.
,Species distributions and range maps,FEOW,Freshwater Ecoregions of the World,core,,https://www.feow.org/,"Global freshwater ecoregion framework delineated using fish distributions and hydrographic boundaries, with associated biodiversity information."
,Species distributions and range maps,IUCN ranges,IUCN Red List Spatial Data,core,iucn.webp,https://www.iucnredlist.org/resources/spatial-data-download,Expert-reviewed distribution polygons and assessment attributes for taxa assessed by the IUCN Red List.
,Species distributions and range maps,MEOW,Marine Ecoregions of the World,core,,https://www.worldwildlife.org/publications/marine-ecoregions-of-the-world-a-bioregionalization-of-coastal-and-shelf-areas,"Global nested classification of coastal and shelf marine areas into realms, provinces and ecoregions."
,Species distributions and range maps,PPOW,Pelagic Provinces of the World,core,,,
,Species distributions and range maps,G200,Global 200 Ecoregions,core,,,
,Species distributions and range maps,Biodiversiy hotspots,Biodiversity Hotspots (sensu Myers et al.),core,,,
,Stratigraphy,OneGeology,OneGeology,core,,https://onegeology.org/,International portal providing interoperable access to geological maps from national surveys.
,Stratigraphy,Chinalex,China Lexicon of Stratigraphic Units,core,generic.svg,https://chinalex.geolex.org/,
,Stratigraphy,Geolex,International Geology Website and Database,core,,https://geolex.org/,
,Stratigraphy,GeoWhen,The GeoWhen Database,core,geowhen.gif,https://timescalefoundation.org/resources/geowhen/geolist.html,
,Stratigraphy,ICC,International Chronostratigraphic Chart,core,,https://stratigraphy.org/chart/,Official International Commission on Stratigraphy hierarchy and numerical boundary ages for chronostratigraphic and geochronologic units.
,Stratigraphy,Macrostrat,Macrostrat,core,,https://macrostrat.org/,"Geological database integrating stratigraphic columns, geologic maps, rock units, ages and fossil links."
,"Taxonomies, nomenclatural resources, and species checklists",ASW,Amphibian Species of the World,core,,https://amphibiansoftheworld.amnh.org/,"Expert global taxonomic reference for amphibians with nomenclature, distributions and literature."
,"Taxonomies, nomenclatural resources, and species checklists",AviList,AviList: The Global Avian Checklist,core,,https://www.avilist.org/,Consensus global bird taxonomy created by harmonising previously competing world checklists and documenting nomenclatural decisions.
,"Taxonomies, nomenclatural resources, and species checklists",GBIF Backbone,GBIF Backbone Taxonomy,core,,https://www.gbif.org/dataset/d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Operational taxonomic backbone used to index and interpret GBIF-mediated names.
,"Taxonomies, nomenclatural resources, and species checklists",Index Fungorum,Index Fungorum,core,,https://www.indexfungorum.org/,"Global index of scientific names of fungi, including names of fossil forms, with nomenclatural and bibliographic information."
,"Taxonomies, nomenclatural resources, and species checklists",MDD,Mammal Diversity Database,core,,https://www.mammaldiversity.org/,Versioned taxonomy and distribution checklist for living and recently extinct mammals.
,"Taxonomies, nomenclatural resources, and species checklists",MycoBank,MycoBank,core,,https://www.mycobank.org/,"Authoritative registration and nomenclatural database for fungi, including names, descriptions and linked literature."
,"Taxonomies, nomenclatural resources, and species checklists",NCBI Taxonomy,NCBI Taxonomy,core,,https://www.ncbi.nlm.nih.gov/taxonomy,"Curated classification linking organisms to NCBI sequences, assemblies and samples."
,"Taxonomies, nomenclatural resources, and species checklists",POWO,Plants of the World Online,core,,https://powo.science.kew.org/,"Kew-curated portal integrating accepted plant names, synonymy, distributions, descriptions and uses."
,"Taxonomies, nomenclatural resources, and species checklists",Species Fungorum,Species Fungorum,core,,https://www.speciesfungorum.org/,"Global working list of accepted fungal species names and synonymy, linked to Index Fungorum."
,"Taxonomies, nomenclatural resources, and species checklists",RDB,The Reptile Database,core,,https://reptile-database.reptarium.cz/,"Comprehensive taxonomy of living reptiles with synonymy, literature and broad distributions."
,"Taxonomies, nomenclatural resources, and species checklists",WFO,World Flora Online,core,,https://www.worldfloraonline.org/,Global consensus plant checklist and taxonomic backbone.
,"Taxonomies, nomenclatural resources, and species checklists",Mikrotax,Mikrotax,core,microtax.jpg,https://www.mikrotax.org/,"Expert taxonomic portals for major microfossil groups, with images, synonymies, descriptions and stratigraphic ranges."
,"Taxonomies, nomenclatural resources, and species checklists",AlgaeBase,AlgaeBase,core,algaebase-logo-214.png,https://www.algaebase.org/,"Global taxonomic, nomenclatural, distributional and bibliographic database for algae across marine, freshwater and terrestrial environments."
,"Taxonomies, nomenclatural resources, and species checklists",COL,Catalogue of Life,core,col.jpg,https://www.catalogueoflife.org/,Global taxonomic checklist integrating expert-maintained Global Species Databases into versioned releases.
,"Taxonomies, nomenclatural resources, and species checklists",FishBase,FishBase,core,fishbase.png,https://www.fishbase.se/,"Global species database integrating taxonomy, distribution, ecology, life history, morphology and fisheries information for finfishes."
,"Taxonomies, nomenclatural resources, and species checklists",IFPNI,International Fossil Plant Names Index,core,IFPNI Logo.gif,https://ifpni.org/,
,"Taxonomies, nomenclatural resources, and species checklists",WoRMS,World Register of Marine Species,core,,https://www.marinespecies.org/,"Expert-edited global register of marine names, synonyms and classifications."
,Time-calibrated phylogenies,BirdTree,BirdTree,core,,https://birdtree.org/,Portal distributing global posterior samples of time-calibrated avian phylogenies.
,Time-calibrated phylogenies,FToL,Fish Tree of Life,core,,https://fishtreeoflife.org/,Online phylogenetic framework and taxonomic resources for fishes.
,Time-calibrated phylogenies,GBOTB.extended,GBOTB.extended / V.PhyloMaker2,core,,https://github.com/jinyizju/V.PhyloMaker2,Large vascular-plant megatree and software for attaching missing species using taxonomic rules.
,Time-calibrated phylogenies,TimeTree,TimeTree,core,,https://timetree.org/,Knowledge base synthesising published molecular divergence-time estimates into a time-scaled tree.
,Time-calibrated phylogenies,VertLife,VertLife phylogeny portals,core,,https://vertlife.org/data/,Posterior distributions of dated trees and subtree tools for major vertebrate clades.
,Time-calibrated phylogenies,FCD,Fossil Calibration Database,core,,http://fossilcalibrations.org/,Peer-reviewed records of vetted fossil calibrations tied to phylogenetic nodes and explicit age constraints.
,Traits,Amniote,Amniote Life-History Database,core,,https://datadryad.org/dataset/doi:10.5061/dryad.v28t5,"Harmonised life-history database for birds, mammals and reptiles assembled from previous compilations and literature."
,Traits,AmphiBIO,AmphiBIO,core,,https://www.nature.com/articles/sdata2017123,"Global database of amphibian ecological, morphological and reproductive traits."
,Traits,AusTraits,AusTraits,core,,https://austraits.org/,"Versioned, harmonised plant trait database for the Australian flora with controlled vocabulary and provenance."
,Traits,AVONET,AVONET,core,,https://figshare.com/s/b990722d72a26b5bfead,"Morphological, ecological and geographic traits for all extant bird species, including individual museum measurements."
,Traits,BeeFunc,BeeFunc,core,,https://www.nature.com/articles/s41597-025-04706-3,Harmonised ecological and functional traits for wild bees in France.
,Traits,BIRDBASE,BIRDBASE,core,,https://www.nature.com/articles/s41597-026-06383-0,"Comprehensive avian trait database aligned to AviList, covering morphology, ecology, life history, movement and conservation-relevant attributes."
,Traits,CactEcoDB,CactEcoDB,core,,https://github.com/jamie-thompson/CactEcoDB,"Integrated cactus species dataset combining traits, ranges, environments, phylogeny and diversification metrics."
,Traits,CoRRE Traits,CoRRE Trait Data,core,,https://www.nature.com/articles/s41597-024-03637-x,Plant trait data linked directly to coordinated global-change grassland experiments.
,Traits,EltonTraits,EltonTraits,core,,https://www.mol.org/downloads/,"Species-level diet, foraging stratum, activity and body-mass traits for birds and mammals."
,Traits,FungalTraits,FungalTraits,core,,https://github.com/traitecoevo/fungaltraits,Taxon-level fungal ecological guild and functional-attribute assignments.
,Traits,GlobTherm,GlobTherm,core,,https://datadryad.org/dataset/doi:10.5061/dryad.1cv08,Global compilation of experimentally measured thermal tolerance limits.
,Traits,MammalDIET,MammalDIET,core,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.6ww2k,Global compilation of quantitative and categorical diet preferences for terrestrial mammals.
,Traits,PanTHERIA,PanTHERIA,core,,https://esapubs.org/archive/ecol/E090/184/,"Species-level mammal life-history, ecological and geographic trait compilation."
,Traits,ReptTraits,ReptTraits,core,,https://figshare.com/articles/dataset/ReptTraits/,Global ecological and life-history trait compilation for reptiles.
,Traits,ART DB,Ancient Reef Traits Database,core,art_logo.png,https://www.art.nat.fau.de/,"A searchable database of coral observations, traits, taxonomy, locations and environmental metadata."
,Traits,CoralTraits,Coral Trait Database,core,,https://www.coraltraits.org/,"Community-curated coral trait observations with taxonomy, phylogeny, geography and source metadata."
,Traits,TRY,TRY Plant Trait Database,core,Try41.jpg,https://www.try-db.org/,Global compilation of plant trait measurements contributed by many datasets and standardised to common definitions.
,Traits,PETS,PETS database,core,pets.png,https://pets.nhm.uio.no/PETS/,Trait time series.
,General,Chronosphere,Chronosphere Data Portal,core,chronosphere_500x500.png,https://chronosphere.info/,Version-controlled data
,General,PhyloPic,PhyloPic,core,phylopic.png,https://www.phylopic.org/,An open database of freely reusable silhouettes of life forms
,,,Song et al. Paleotemperatures,core,,,
,,,Halpern et al!,core,,,
